date,value
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,6.71676843588542
2012,7.54291373239432
2013,6.90845034828451
2014,3.1790022823606
2015,3.76836783062097
2016,3.95888846593072
2017,7.70413767850602
2018,2.13503773713198
2019,3.52839358231813
2020,6.15394508391736
2021,7.01478071238194
2022,49.7211021114328
2023,16.5411742279832
2024,-0.42936004906972
